m.ref,spec.r,group.r,date,month,year,latwgs84,longwgs84,sex,age.r
M598/99,Risso's dolphin,Pelagic Dolphins,13/06/1999,6,1999,59.06184387,-3.349628687,U,unknown
M547/99,Harbour porpoise,Harbour porpoise,22/06/1999,6,1999,55.86561584,-5.189855576,M,juvenile
M546/99,Harbour porpoise,Harbour porpoise,22/06/1999,6,1999,55.42896271,-5.720592976,M,neonate
M548/99,Harbour porpoise,Harbour porpoise,23/06/1999,6,1999,58.59732056,-3.524415016,F,neonate
M554/99,Bottlenose dolphin,Pelagic Dolphins,23/06/1999,6,1999,56.288517,-6.174048424,U,unknown
M550/99,Sperm whale,Deep Divers,24/06/1999,6,1999,59.26974106,-2.880639076,U,unknown
M551/99,Bottlenose dolphin,Pelagic Dolphins,25/06/1999,6,1999,57.49571228,-4.15739727,F,adult
M560/99,Risso's dolphin,Pelagic Dolphins,28/06/1999,6,1999,58.19791794,-6.276753426,F,adult
M561/99,Risso's dolphin,Pelagic Dolphins,28/06/1999,6,1999,57.42743301,-7.393797398,F,adult
M673/99,White-beaked dolphin,Pelagic Dolphins,30/06/1999,6,1999,57.52702332,-7.659173012,U,unknown
M588/99,Bottlenose dolphin,Pelagic Dolphins,05/07/1999,7,1999,56.43997574,-6.346521854,F,adult
M668/99,Risso's dolphin,Pelagic Dolphins,05/07/1999,7,1999,56.57618332,-6.560979366,U,unknown
M556/99,Long-finned pilot whale,Pelagic Dolphins,09/07/1999,7,1999,60.52370834,-1.178367019,M,adult
M557/99,Bottlenose dolphin,Pelagic Dolphins,12/07/1999,7,1999,57.70220566,-2.911056519,F,adult
M570/99,White-beaked dolphin,Pelagic Dolphins,14/07/1999,7,1999,57.28936386,-7.423387051,F,neonate
M569/99,White-beaked dolphin,Pelagic Dolphins,20/07/1999,7,1999,58.60549927,-3.356107235,U,unknown
M594/99,Atlantic white-sided dolphin,Pelagic Dolphins,25/07/1999,7,1999,57.70326233,-7.276851654,U,adult
M562/99,Striped dolphin,Pelagic Dolphins,26/07/1999,7,1999,58.60639191,-3.356133461,F,unknown
